推,omanorboyo,": 別在本省外省了 還不都從大陸溜過來的","06/10 14:41"
→,shino95995,": 反觀個屁? 台灣就沒幾個人了還在內鬥 一群白癡","06/10 14:41"
→,gn1384181,": 廣義來說都算獨派 主張脫離中華民國、台灣人自覺獨立","06/10 14:42"
→,hatenese,":              只准吱吱帶風向，不准鄉民說心得","06/10 14:42"
→,omanorboyo,": 早來一點就靠么後到的 原住民都沒講話了","06/10 14:42"
→,gn1384181,": 然後再加入美日","06/10 14:42"
推,ImBBCALL,": 系出同門啊","06/10 14:42"
推,orinsinal,": 吱吱教主出來打八掛猴子啦","06/10 14:42"
→,shino95995,": 台灣早就實質獨立了 台獨她媽的只是民進黨丟的假議題","06/10 14:42"
推,NowQmmmmmmmm,": 她又不是民進黨的，黨工很會抹黑","06/10 14:42"
推,kruzin,": 原住民: 我說在座的各位都是中國難民","06/10 14:43"
→,ImBBCALL,": 沒人說他民進黨啊","06/10 14:43"
推,kopune,": 問題是 八卦酸民講的再難聽 也不會真的當面講 還拍片上傳","06/10 14:43"
推,donkilu,": 就說吧 民主社會本來就不該有仇恨族群的言論","06/10 14:43"
推,makoto1982,": 蛆蛆們的觀念就是反國民黨就是DPP","06/10 14:44"
推,mirage2000,": 她才不是DPP的 但絕對是豬隊友 身體力行的八卦鄉民","06/10 14:44"
→,gn1384181,": 最有資格說是本土台灣人的就是原住民 各位都是中國難民","06/10 14:44"
→,donkilu,": 有些酸民還得意洋洋在那邊講","06/10 14:44"
→,gn1384181,": X出來的雜種","06/10 14:44"
→,greedypeople,": 說真的啦  吵這個只是凸顯DPP跟KMT高度不同而已","06/10 14:44"
推,orinsinal,": 吱吱具現化 看到自己網路的醜態變成現實感到噁心","06/10 14:44"
噓,amwkscl,": 榮民本來就廢物","06/10 14:45"
推,foolfighter,": 我講真的，一堆深藍罵臺灣人倭奴雜種，我沒看過國民","06/10 14:45"
→,foolfighter,": 黨出來譴責過","06/10 14:45"
→,gn1384181,": 洪素珠讓我看到八卦吱吱具現化的樣子 洪素珠不再是一個","06/10 14:45"
→,w76530,": 沒當面講比較高尚?呵呵，這議題還可以讓台灣人吵好久","06/10 14:45"
→,orinsinal,": 樓上還在謾罵榮民","06/10 14:46"
→,orinsinal,": 洪素珠們 吱吱面熟不？","06/10 14:46"
→,gn1384181,": 人在奮鬥 背後站著千千萬萬的八卦吱吱 洪素珠從今日就","06/10 14:46"
→,omanorboyo,": 推文裡有[素珠]?","06/10 14:46"
推,kopune,": 而且PTT上有7成是跟風 嘴賤罵好玩的 真的不必太當真","06/10 14:46"
→,hatenese,":                        網   再不推給國民黨就是失敗喔","06/10 14:46"
→,gn1384181,": 是一個精神符號，是八卦吱吱的具現化","06/10 14:46"
→,freef1y3,": 好啦 那白狼王炳忠穆郁明都算國民黨的好了","06/10 14:47"
推,az22319,": 不少極端吱吱留言還在繼續仇視榮民","06/10 14:47"
推,raymondlai,": 版上的洪素珠還真多，沒辦法依附DPP了哭哭喔","06/10 14:47"
推,oncemore,": 板上言論不必當真XDD  原來講話可以不負責","06/10 14:48"
推,orinsinal,": 以後八卦吱吱多ㄧ個封號啦 洪素珠們","06/10 14:48"
推,JACC,": 那每次228都在鬧是為啥","06/10 14:48"
推,minoru04,": 不知道止羲小起入們有沒有譴責白狼王炳忠穆郁明郭冠英","06/10 14:48"
