"key","household"
"南投縣水里鄉興隆村",148
"南投縣水里鄉車埕村",242
"南投縣水里鄉農富村",220
"南投縣水里鄉郡坑村",154
"南投縣水里鄉鉅工村",457
"南投縣水里鄉頂崁村",548
"南投縣竹山鎮下坪里",515
"南投縣竹山鎮中和里",375
"南投縣竹山鎮中央里",503
"南投縣竹山鎮中山里",1972
"南投縣竹山鎮中崎里",581
"南投縣竹山鎮中正里",308
"南投縣竹山鎮坪頂里",199
"南投縣竹山鎮大鞍里",261
"南投縣竹山鎮富州里",257
"南投縣竹山鎮山崇里",733
"南投縣竹山鎮延和里",2034
"南投縣竹山鎮延山里",362
"南投縣竹山鎮延平里",1218
"南投縣竹山鎮延正里",654
"南投縣竹山鎮延祥里",1460
"南投縣竹山鎮德興里",361
"南投縣竹山鎮桂林里",1541
"南投縣竹山鎮桶頭里",400
"南投縣竹山鎮瑞竹里",279
"南投縣竹山鎮田子里",269
"南投縣竹山鎮硘󿾨里",736
"南投縣竹山鎮社寮里",462
"南投縣竹山鎮福興里",266
"南投縣竹山鎮秀林里",302
"南投縣竹山鎮竹圍里",1036
"南投縣竹山鎮竹山里",960
"南投縣竹山鎮雲林里",1606
"南投縣竹山鎮鯉魚里",378
"南投縣草屯鎮上林里",1189
"南投縣草屯鎮中原里",741
"南投縣草屯鎮中山里",1025
"南投縣草屯鎮中正里",313
"南投縣草屯鎮加老里",780
"南投縣草屯鎮北勢里",705
"南投縣草屯鎮北投里",1040
"南投縣草屯鎮南埔里",1558
"南投縣草屯鎮和平里",513
"南投縣草屯鎮土城里",644
"南投縣草屯鎮坪頂里",396
"南投縣草屯鎮富寮里",2713
"南投縣草屯鎮山腳里",3078
"南投縣草屯鎮平林里",397
"南投縣草屯鎮御史里",2397
"南投縣草屯鎮復興里",1072
"南投縣草屯鎮敦和里",2514
"南投縣草屯鎮新厝里",1373
"南投縣草屯鎮新庄里",1315
"南投縣草屯鎮新豐里",1468
"南投縣草屯鎮明正里",1613
"南投縣草屯鎮炎峰里",980
"南投縣草屯鎮玉峰里",904
"南投縣草屯鎮石川里",573
"南投縣草屯鎮碧峰里",1682
"南投縣草屯鎮碧洲里",900
"南投縣草屯鎮雙冬里",919
"南投縣集集鎮八張里",637
"南投縣集集鎮吳厝里",445
"南投縣集集鎮和平里",422
"南投縣集集鎮富山里",242
"南投縣集集鎮廣明里",406
"南投縣集集鎮林尾里",253
"南投縣集集鎮永昌里",423
"南投縣集集鎮玉映里",232
"南投縣集集鎮田寮里",542
"南投縣集集鎮隘寮里",243
"南投縣集集鎮集集里",501
"南投縣魚池鄉中明村",427
"南投縣魚池鄉五城村",296
"南投縣魚池鄉共和村",384
"南投縣魚池鄉大林村",444
"南投縣魚池鄉大雁村",292
"南投縣魚池鄉新城村",566
"南投縣魚池鄉日月村",348
"南投縣魚池鄉東光村",485
"南投縣魚池鄉東池村",651
"南投縣魚池鄉武登村",282
"南投縣魚池鄉水社村",350
"南投縣魚池鄉頭社村",375
"南投縣魚池鄉魚池村",855
"南投縣鹿谷鄉內湖村",473
"南投縣鹿谷鄉初鄉村",768
"南投縣鹿谷鄉和雅村",292
"南投縣鹿谷鄉廣興村",896
"南投縣鹿谷鄉彰雅村",593
"南投縣鹿谷鄉永隆村",822
"南投縣鹿谷鄉清水村",373
"南投縣鹿谷鄉瑞田村",317
"南投縣鹿谷鄉秀峰村",425
"南投縣鹿谷鄉竹林村",745
"南投縣鹿谷鄉竹豐村",442
"南投縣鹿谷鄉鳳凰村",614
"南投縣鹿谷鄉鹿谷村",948
"台中市中 區中華里",1049
"台中市中 區光復里",1045
"台中市中 區公園里",825
"台中市中 區大墩里",1048
"台中市中 區大誠里",1181
"台中市中 區柳川里",1048
"台中市中 區綠川里",872
"台中市中 區繼光里",811
"台中市北 區中正里",770
"台中市北 區中達里",1200
"台中市北 區五常里",644
"台中市北 區健行里",2785
"台中市北 區光大里",1061
"台中市北 區六合里",911
"台中市北 區大湖里",990
"台中市北 區崇德里",1612
"台中市北 區建德里",1444
"台中市北 區建成里",2317
"台中市北 區建興里",2641
"台中市北 區文莊里",1635
"台中市北 區新北里",915
"台中市北 區新興里",770
"台中市北 區明德里",2300
"台中市北 區明新里",1265
"台中市北 區梅川里",1357
"台中市北 區樂英里",1363
"台中市北 區淡溝里",2380
"台中市北 區立人里",1633
"台中市北 區育德里",1680
"台中市北 區賴厝里",2906
"台中市北 區賴旺里",2003
"台中市北 區賴明里",1767
"台中市北 區賴村里",2188
"台中市北 區賴福里",1752
"台中市北 區賴興里",1765
"台中市北 區邱厝里",1009
"台中市北 區金華里",1092
"台中市北 區金龍里",2065
"台中市北 區錦平里",963
"台中市北 區錦村里",1400
"台中市北 區錦洲里",1500
"台中市北 區錦祥里",1759
"台中市北 區長青里",2736
"台中市北 區頂厝里",1961
"台中市北屯區三光里",3074
"台中市北屯區三和里",2454
"台中市北屯區仁和里",4121
